date,open,close,low,high,volume,money,change
2014/12/31,3172.6,3234.68,3157.26,3239.36,40599852100,4.32E+11,0.021751745
2014/12/30,3160.8,3165.82,3130.35,3190.3,39772532000,4.37E+11,-0.000694757
2014/12/29,3212.56,3168.02,3126.94,3223.86,51011143900,5.56E+11,0.003297755
2014/12/26,3078.01,3157.6,3064.18,3164.16,46070093200,4.89E+11,0.02768625
2014/12/25,2992.46,3072.54,2969.87,3073.35,37694777600,3.79E+11,0.033642699
2014/12/24,3039.21,2972.53,2934.91,3050.51,37680524600,3.79E+11,-0.019811305
2014/12/23,3085.08,3032.61,3025.67,3136.84,43776240000,4.19E+11,-0.030322835
2014/12/22,3129.27,3127.45,3090.51,3189.87,67937191500,6.24E+11,0.006063509
2014/12/19,3053.08,3108.6,3018.42,3117.53,52107351100,5.16E+11,0.016704709
2014/12/18,3062.8,3057.52,3030.32,3089.79,43590495200,4.67E+11,-0.001143083
2014/12/17,3031.95,3061.02,2993.33,3076.6,54250317900,5.80E+11,0.013073561
2014/12/16,2953.81,3021.52,2943.91,3021.9,45384272300,4.93E+11,0.023056991
2014/12/15,2921.45,2953.42,2890.9,2960.23,40037169500,4.11E+11,0.00518962
2014/12/12,2929.36,2938.17,2914.96,2962.51,40948081100,4.20E+11,0.004248493
2014/12/11,2912.35,2925.74,2892.61,2965.68,48263273300,4.80E+11,-0.004851351
2014/12/10,2855.94,2940.01,2807.68,2946.71,51288691300,5.35E+11,0.029316917
2014/12/9,2992.49,2856.27,2834.59,3091.32,77199837900,7.93E+11,-0.054296355
2014/12/8,2907.82,3020.26,2879.85,3041.66,58757089000,5.93E+11,0.028121486
2014/12/5,2926.57,2937.65,2813.05,2978.03,64050029600,6.39E+11,0.013171781
2014/12/4,2783.47,2899.46,2772.43,2900.51,53268771800,5.09E+11,0.04314802
2014/12/3,2768.68,2779.53,2733.87,2824.18,56212028100,5.30E+11,0.005782428
2014/12/2,2667.82,2763.55,2665.69,2777.37,43773338100,3.97E+11,0.031113872
2014/12/1,2691.73,2680.16,2668.84,2720.74,44679174100,4.01E+11,-0.000998943
2014/11/28,2629.63,2682.84,2622.06,2683.18,46588003500,4.02E+11,0.019900885
2014/11/27,2615.37,2630.49,2599.11,2631.4,36407571900,3.39E+11,0.010037457
2014/11/26,2572.65,2604.35,2570.4,2605.07,33712724900,3.17E+11,0.014312215
2014/11/25,2532,2567.6,2527.08,2568.38,31431557200,2.82E+11,0.013706932
2014/11/24,2505.53,2532.88,2495.52,2546.75,36348583500,3.30E+11,0.018533122
2014/11/21,2452.64,2486.79,2446.65,2488.2,21223977400,1.98E+11,0.013915912
2014/11/20,2443.28,2452.66,2437.48,2458.32,16549521300,1.51E+11,0.00068299
2014/11/19,2452.15,2450.99,2442.71,2461.49,18623577100,1.67E+11,-0.002190227
2014/11/18,2474.18,2456.37,2449.81,2477.05,20106257000,1.75E+11,-0.00713134
2014/11/17,2506.86,2474.01,2472.45,2508.77,21568780000,1.99E+11,-0.001942453
2014/11/14,2477.97,2478.82,2457.05,2481.03,22060761900,1.92E+11,-0.00272851
2014/11/13,2495,2485.61,2471.41,2507.74,29503705800,2.58E+11,-0.003555857
2014/11/12,2454.6,2494.48,2444.81,2494.92,25293385200,2.16E+11,0.01004303
2014/11/11,2483.65,2469.67,2445.96,2508.62,41190406500,3.31E+11,-0.001617029
2014/11/10,2436.63,2473.67,2428.19,2474.16,30062820300,2.45E+11,0.022952058
2014/11/7,2427.9,2418.17,2407.44,2454.42,29117224500,2.44E+11,-0.003171241
2014/11/6,2419.62,2425.86,2401.75,2426.89,22200508800,1.80E+11,0.002732247
2014/11/5,2432.17,2419.25,2415.5,2434.36,26360665400,2.02E+11,-0.004699514
2014/11/4,2428.27,2430.68,2417.22,2435.22,30901303900,2.27E+11,0.000265429
2014/11/3,2425.23,2430.03,2418.17,2436.79,29882123500,2.27E+11,0.004071601
2014/10/31,2393.18,2420.18,2384.48,2423.6,32576352200,2.50E+11,0.01217109
2014/10/30,2371.89,2391.08,2365.92,2397.26,29464594300,2.27E+11,0.007604624
2014/10/29,2343.72,2373.03,2339.71,2381.64,26558868700,2.25E+11,0.015038897
2014/10/28,2294.01,2337.87,2294.01,2338.28,17859035700,1.58E+11,0.020709585
2014/10/27,2293.57,2290.44,2279.84,2293.64,13026156800,1.13E+11,-0.005144031
2014/10/24,2303.08,2302.28,2296.66,2314.88,13222528100,1.14E+11,-5.99E-05
2014/10/23,2322.32,2302.42,2297.33,2329.93,16263630800,1.41E+11,-0.010373716
2014/10/22,2339.22,2326.55,2324.59,2352.12,15269842500,1.39E+11,-0.005600821
2014/10/21,2355.03,2339.66,2337.55,2361.65,16882828800,1.47E+11,-0.007243517
2014/10/20,2346.05,2356.73,2340.46,2357.51,16002230500,1.42E+11,0.006639376
2014/10/17,2352.78,2341.18,2312.83,2360.6,21230096200,1.79E+11,-0.006499048
2014/10/16,2361.13,2356.5,2353.41,2389.68,24820116800,2.04E+11,-0.007233946
2014/10/15,2358.23,2373.67,2344.37,2374.81,20280491500,1.72E+11,0.006016169
2014/10/14,2362.8,2359.48,2349.19,2380.52,19683141800,1.70E+11,-0.002761612
2014/10/13,2366.43,2366.01,2341.12,2366.86,20089931400,1.75E+11,-0.003592696
2014/10/10,2380.76,2374.54,2365.08,2386.28,22467112600,1.92E+11,-0.006207073
2014/10/9,2383.86,2389.37,2367.11,2391.35,23592001000,2.00E+11,0.002760205
2014/10/8,2368.58,2382.79,2354.29,2382.79,20439732600,1.80E+11,0.008005516
2014/9/30,2361.32,2363.87,2354.27,2365.49,19391869000,1.67E+11,0.002612279
2014/9/29,2353.71,2357.71,2346.58,2363.06,20011102100,1.71E+11,0.004256474
2014/9/26,2339.29,2347.72,2329.96,2350.11,17474828500,1.48E+11,0.00111509
2014/9/25,2352.87,2345.1,2336.81,2365.15,22568832300,1.89E+11,0.000651995
2014/9/24,2302.23,2343.58,2297.88,2345.75,22252572500,1.86E+11,0.014658499
2014/9/23,2289.09,2309.72,2289.02,2311.53,15685516900,1.35E+11,0.008669503
2014/9/22,2323.55,2289.87,2284.38,2323.55,17584235400,1.48E+11,-0.016993274
2014/9/19,2312.98,2329.45,2305.52,2331.56,17464848700,1.44E+11,0.005839128
2014/9/18,2303.85,2315.93,2297.93,2319.88,18908904500,1.45E+11,0.003481531
2014/9/17,2298.98,2307.89,2282.8,2309.05,21084245300,1.59E+11,0.00493696
2014/9/16,2341.03,2296.56,2293.87,2347.94,30269411100,2.38E+11,-0.018205409
2014/9/15,2330.19,2339.14,2321.59,2340.45,21511241400,1.85E+11,0.003083257
2014/9/12,2308.35,2331.95,2302.78,2331.95,19347154000,1.62E+11,0.008768951
2014/9/11,2315.73,2311.68,2304.6,2343.6,22222179800,1.97E+11,-0.002858123
2014/9/10,2318.5,2318.31,2306.42,2321.91,18982899100,1.63E+11,-0.003534023
2014/9/9,2328.43,2326.53,2315.89,2331.92,19699031800,1.73E+11,4.08E-05
2014/9/5,2311.31,2326.43,2307.45,2327.56,21318191700,1.86E+11,0.008483386
2014/9/4,2290.03,2306.86,2283.28,2307.7,19948997800,1.79E+11,0.007967659
2014/9/3,2268.4,2288.63,2268.1,2290.55,21247899800,1.88E+11,0.009964935
2014/9/2,2239.68,2266.05,2234.38,2267.51,19212486900,1.71E+11,0.013659069
2014/9/1,2220.13,2235.51,2217.69,2236.29,12916658300,1.17E+11,0.008258614
2014/8/29,2198.95,2217.2,2193.26,2218.7,10520249600,93043872850,0.009737601
2014/8/28,2210.48,2195.82,2194.86,2219.47,12422901400,1.09E+11,-0.006176608
2014/8/27,2207.03,2209.47,2204.05,2216.67,12088588500,1.04E+11,0.00106882
2014/8/26,2225.29,2207.11,2200.62,2232.79,16350742400,1.34E+11,-0.009944045
2014/8/25,2241.1,2229.27,2222.01,2241.55,16211957800,1.34E+11,-0.005149026
2014/8/22,2228.97,2240.81,2225.27,2243.3,16011167200,1.40E+11,0.004642096
2014/8/21,2239.57,2230.46,2211.63,2240.08,16573349800,1.41E+11,-0.004353608
2014/8/20,2241.66,2240.21,2233.89,2248.94,16765838300,1.40E+11,-0.002279843
2014/8/19,2242.34,2245.33,2227.93,2246.02,17774459200,1.55E+11,0.002618481
2014/8/18,2229.8,2239.47,2228.13,2242.04,16392862600,1.41E+11,0.005717791
2014/8/15,2207.23,2226.73,2203.24,2230.87,14997869100,1.29E+11,0.00918573
2014/8/14,2221.54,2206.47,2204.38,2230.89,17014912300,1.42E+11,-0.007382775
2014/8/13,2223.05,2222.88,2202.44,2230.99,17806280600,1.46E+11,0.000577063
2014/8/12,2222.7,2221.6,2210,2222.98,15479904600,1.32E+11,-0.001375045
2014/8/11,2199.43,2224.65,2198.31,2225.96,15058342100,1.26E+11,0.013775363
2014/8/8,2188.71,2194.43,2180.6,2199.58,13518144300,1.10E+11,0.003088219
2014/8/7,2216.66,2187.67,2185.76,2220.57,17523327400,1.37E+11,-0.013436965
2014/8/6,2212,2217.47,2192.99,2223.89,17771170700,1.40E+11,-0.001117145
2014/8/5,2224.63,2219.95,2206.85,2226.84,17538698700,1.41E+11,-0.00152294
2014/8/4,2190.04,2223.33,2186.92,2224.07,17409740300,1.40E+11,0.017401706
2014/8/1,2194.17,2185.3,2184.64,2218.79,19147504200,1.52E+11,-0.007385211
2014/7/31,2179.54,2201.56,2173.9,2202.13,16469165400,1.32E+11,0.009315331
2014/7/30,2178.18,2181.24,2177.24,2194.57,18492218700,1.50E+11,-0.00089273
2014/7/29,2179.83,2183.19,2172.1,2193.52,20026425700,1.59E+11,0.002407771
2014/7/28,2135.25,2177.95,2135.25,2181.5,23618575200,1.80E+11,0.024138842
2014/7/25,2108.71,2126.61,2106.71,2127.22,14249582600,1.11E+11,0.010238178
2014/7/24,2079.63,2105.06,2079.63,2107.95,16567699600,1.29E+11,0.012784768
2014/7/23,2074.2,2078.49,2072.23,2088.19,13729221100,1.07E+11,0.001449303
2014/7/22,2050.5,2075.48,2049.82,2078.09,12319186800,98702436643,0.010222543
2014/7/21,2057.77,2054.48,2049.18,2061.82,9385787000,75706180211,-0.002228194
2014/7/18,2047.5,2059.07,2046,2067.23,10664109400,82510264416,0.001690998
2014/7/17,2062.89,2055.59,2046.19,2062.89,10449181200,79106281032,-0.005652366
2014/7/16,2068.34,2067.28,2061.57,2075.49,13712802000,1.02E+11,-0.001488149
2014/7/15,2065.9,2070.36,2059.68,2070.36,12448876800,1.03E+11,0.001795663
2014/7/14,2047.74,2066.65,2044.9,2067.34,11511974000,96357013657,0.009616695
2014/7/11,2033.87,2046.96,2033,2051.74,10508808300,86253717656,0.004228437
2014/7/10,2036.54,2038.34,2034.96,2045.53,9794381900,84748630822,-0.000132443
2014/7/9,2061.64,2038.61,2037.6,2062.47,11330584100,97183492310,-0.012310437
2014/7/8,2058.13,2064.02,2047.2,2064.43,9505339300,81584449261,0.001987449
2014/7/7,2058.13,2059.93,2050.89,2064.04,9716875400,81471314663,0.000268042
2014/7/4,2062.36,2059.38,2054.22,2065.08,10500879200,83596436667,-0.001867946
2014/7/3,2051.63,2063.23,2048.08,2066.64,12292658200,96182469062,0.001850523
2014/7/2,2049.49,2059.42,2044.04,2060.6,10955391100,89304983545,0.004407474
2014/7/1,2051.23,2050.38,2041.94,2052.64,9845740900,83499762384,0.00100277
2014/6/30,2038.61,2048.33,2038.53,2052.34,9666659800,80011169570,0.005802574
2014/6/27,2031.91,2036.51,2025.07,2043.98,9759201700,76710586646,-0.001062944
2014/6/26,2025.66,2038.68,2025.31,2040.75,8095577800,66534274736,0.00650456
2014/6/25,2030.43,2025.5,2018.36,2030.62,6753961000,55989137975,-0.004144192
2014/6/24,2023.7,2033.93,2021.75,2034.71,7121463400,61684910986,0.004725432
2014/6/23,2026.23,2024.37,2022.92,2033.32,7048516200,57772730103,-0.001139305
2014/6/20,2013.41,2026.67,2010.53,2027.15,6716724600,53224269342,0.001452265
2014/6/19,2054.62,2023.74,2017.65,2059.26,9291427400,74628946056,-0.015462761
2014/6/18,2064.38,2055.52,2051.75,2066.91,8724535000,70472931939,-0.005409112
2014/6/17,2080.48,2066.7,2064.67,2080.48,8780048100,70923265343,-0.009245042
2014/6/16,2070.7,2085.98,2069.44,2087.32,9593977000,79953076117,0.007373299
2014/6/13,2049.21,2070.72,2048.62,2073.6,9717480600,82546974059,0.009261529
2014/6/12,2051.58,2051.71,2045.96,2057.11,8171118600,69306421819,-0.001574249
2014/6/11,2049.13,2054.95,2045.41,2056.63,7444435400,63177390287,0.001177083
2014/6/10,2033.21,2052.53,2026.39,2052.77,7962371700,65406104835,0.010849534
2014/6/9,2024.94,2030.5,2023.2,2045.26,6478831700,55139842258,0.000268971
2014/6/6,2040.86,2029.96,2022.16,2041.57,6602174400,55124242502,-0.005351618
2014/6/5,2019.44,2040.88,2016.18,2041.7,6794953600,56376142155,0.007923613
2014/6/4,2037.99,2024.83,2012.91,2038.48,7241277100,57467546430,-0.006836468
2014/6/3,2039.2,2038.77,2037.3,2049.58,7158412400,59296437014,-0.00021577
2014/5/30,2040.39,2039.21,2031.37,2046.96,7514889800,62353642382,-0.000677744
2014/5/29,2051.84,2040.6,2039.24,2057.08,8124292100,69472513686,-0.004698502
2014/5/28,2034.56,2050.23,2029.34,2052.66,8133864200,68602224952,0.007698452
2014/5/27,2039.79,2034.57,2032.84,2044.15,6757788900,55920518535,-0.003385296
2014/5/26,2042.03,2041.48,2035.09,2045.38,7028122000,59840433362,0.003394822
2014/5/23,2020.12,2034.57,2017.74,2034.57,6348806500,51464939986,0.006572057
2014/5/22,2023.15,2021.29,2018.88,2041.96,7472847400,59501663401,-0.001810414
2014/5/21,2001.31,2024.95,1991.06,2025.19,6181154700,48415094175,0.008381973
2014/5/20,2011.85,2008.12,2002.76,2018.16,6134538200,49549015106,0.001464206
2014/5/19,2023.01,2005.18,1996.02,2023.27,6532943800,52975245931,-0.010521075
2014/5/16,2023.6,2026.5,2012.69,2027.76,6635366000,51625885302,0.000755565
2014/5/15,2044.38,2024.97,2022.86,2047.32,7584515400,59773445331,-0.011199711
2014/5/14,2049.27,2047.91,2042.74,2056.57,7201112500,56455292293,-0.001374146
2014/5/13,2055.08,2050.73,2043.55,2061.06,9722338800,73741718051,-0.001043904
2014/5/12,2022.93,2052.87,2016.64,2055.51,11574207700,88097002894,0.020752461
2014/5/9,2016.5,2011.14,2001.3,2020.45,7622424400,57505383717,-0.002053815
2014/5/8,2006.85,2015.27,2005.69,2036.94,7786539300,59529365546,0.00258248
2014/5/7,2023.15,2010.08,2008.45,2024.63,7436019200,57558051925,-0.008853384
2014/5/6,2024.26,2028.04,2021.49,2038.71,7460941100,57548110850,0.000337879
2014/5/5,2022.18,2027.35,2007.35,2028.96,7993339500,60093487736,0.000491029
2014/4/30,2020.44,2026.36,2016.58,2029.54,7452857800,57677357948,0.00297821
2014/4/29,2001.9,2020.34,1997.64,2021.68,7622127500,56776480980,0.008412333
2014/4/28,2033.34,2003.49,2000.14,2035.99,8979526200,68541492566,-0.016219834
2014/4/25,2060.54,2036.52,2035.57,2065.64,9304233300,74155877478,-0.009972616
2014/4/24,2064.16,2057.03,2056.19,2075.76,7818595500,64407532370,-0.005005848
2014/4/23,2068.08,2067.38,2059.11,2076.35,7853152100,66156169573,-0.002628772
2014/4/22,2062.79,2072.83,2047.33,2073.66,9871988200,82468105678,0.003390895
2014/4/21,2085.98,2065.83,2065.23,2103.08,9637836900,81654552342,-0.015217271
2014/4/18,2091.48,2097.75,2081.19,2099.64,8815569500,72555982418,-0.000541716
2014/4/17,2108.95,2098.89,2095.71,2110.72,8989632500,74257033528,-0.002962774
2014/4/16,2097.21,2105.12,2092.16,2112.05,8936165700,75099477740,0.001675389
2014/4/15,2125.9,2101.6,2098.15,2125.9,10753115100,91135360828,-0.014045251
2014/4/14,2127.41,2131.54,2116.61,2134.43,10207785300,86591714588,0.000467956
2014/4/11,2130.37,2130.54,2120.18,2138.65,13176835900,1.12E+11,-0.001760765
2014/4/10,2105.88,2134.3,2098.08,2146.67,15678960900,1.30E+11,0.013805097
2014/4/9,2100.65,2105.24,2095.64,2108.75,10534047100,87366776078,0.00331366
2014/4/8,2054.53,2098.28,2052.9,2102.45,13337098300,1.08E+11,0.019162816
2014/4/4,2037.55,2058.83,2035.22,2060.1,8318905600,66368648237,0.007402743
2014/4/3,2063.5,2043.7,2037.45,2066.01,10861842100,79480900734,-0.007424035
2014/4/2,2049.42,2058.99,2046.74,2060.78,10265852500,77940636053,0.005630391
2014/4/1,2031.01,2047.46,2028.1,2050.68,8328657600,64512636953,0.006961077
2014/3/31,2043.05,2033.31,2024.19,2048.13,9435653600,71573688750,-0.004117133
2014/3/28,2046.85,2041.71,2035.24,2060.13,12168196500,94221958284,-0.002382502
2014/3/27,2060.81,2046.59,2042.71,2073.98,11914937400,94996460806,-0.008277486
2014/3/26,2070.57,2063.67,2057.65,2074.57,10261111600,80463446277,-0.001761225
2014/3/25,2063.32,2067.31,2057.49,2079.55,13182223200,1.00E+11,0.000499449
2014/3/24,2050.83,2066.28,2043.33,2074.06,14770008500,1.10E+11,0.009113023
2014/3/21,1987.68,2047.62,1986.07,2052.47,14447765600,1.09E+11,0.02715855
2014/3/20,2017.22,1993.48,1993,2030.85,11033304800,88630977588,-0.013975627
2014/3/19,2019.98,2021.73,2002.44,2022.18,9518079700,79473241174,-0.001709464
2014/3/18,2026.22,2025.2,2020.41,2034.92,9677719300,83580456683,0.000752592
2014/3/17,2009.88,2023.67,1999.25,2024.37,8625037400,72017781997,0.009646073
2014/3/14,2008.83,2004.34,1990.98,2017.91,8777511100,69925888157,-0.007316091
2014/3/13,2000.7,2019.11,1996.53,2029.12,10097811600,77979057254,0.010721873
2014/3/12,1996.24,1997.69,1974.38,2011.06,10136171900,79293072715,-0.001731498
2014/3/11,1994.42,2001.16,1985.6,2008.07,9270526500,76870326506,0.001046489
2014/3/10,2042.35,1999.07,1995.55,2042.63,11569666600,95032992605,-0.028593601
2014/3/7,2058.38,2057.91,2050.47,2079.49,10370954000,89332133920,-0.000810846
2014/3/6,2050.03,2059.58,2030.95,2065.79,10929013300,92561446561,0.003163046
2014/3/5,2073.3,2053.08,2050.18,2074.82,10773308200,91623332621,-0.008877258
2014/3/4,2068.11,2071.47,2050.13,2074.03,11592579200,1.01E+11,-0.001812807
2014/3/3,2052.08,2075.24,2047.07,2078.33,12746089100,1.05E+11,0.009207305
2014/2/28,2040.62,2056.3,2020.94,2058.49,11163790700,95684072094,0.004370519
2014/2/27,2045.1,2047.35,2036.39,2068.31,13216385200,1.13E+11,0.002988359
2014/2/26,2026.61,2041.25,2014.38,2041.63,11011268700,96117707808,0.00345833
2014/2/25,2077.29,2034.22,2026.54,2087.62,14013297800,1.28E+11,-0.020449408
2014/2/24,2099.72,2076.69,2058.79,2099.72,12355530800,1.07E+11,-0.017508219
2014/2/21,2131.59,2113.69,2098.33,2132.7,11766265100,99514289373,-0.011730508
2014/2/20,2152.89,2138.78,2136.48,2177.98,15705227600,1.31E+11,-0.001760516
2014/2/19,2116.92,2142.55,2111.17,2152.96,15126124600,1.28E+11,0.011084129
2014/2/18,2134.14,2119.07,2113.13,2134.14,14286930800,1.30E+11,-0.007656123
2014/2/17,2124.88,2135.42,2117.69,2136.45,14024444300,1.26E+11,0.009247829
2014/2/14,2097.32,2115.85,2095.09,2116.19,11151795000,97399672623,0.008314426
2014/2/13,2106.93,2098.4,2096.97,2122.83,14653263400,1.24E+11,-0.005475946
2014/2/12,2103.83,2109.96,2096.51,2110.9,12633318600,1.11E+11,0.002987159
2014/2/11,2086.18,2103.67,2082.52,2111.06,14221132400,1.25E+11,0.008438847
2014/2/10,2049.98,2086.07,2049.98,2087.98,12433183300,1.13E+11,0.020332629
2014/2/7,2022.32,2044.5,2014.7,2044.73,7359875500,67829921866,0.005614134
2014/1/30,2045.93,2033.08,2031.47,2045.93,6261518400,58264498308,-0.008210588
2014/1/29,2042.18,2049.91,2039.77,2051.58,7386546200,67694123639,0.005592802
2014/1/28,2036.4,2038.51,2026.99,2047.13,7252904300,65751604445,0.002563813
2014/1/27,2044.27,2033.3,2029.63,2044.85,8881542600,81914219452,-0.010266785
2014/1/24,2037.67,2054.39,2034.45,2060.99,9294792100,82346176543,0.005979884
2014/1/23,2048.33,2042.18,2039.05,2052.53,8421058500,76083326567,-0.004663826
2014/1/22,2009.97,2051.75,2008.93,2052.34,9889285600,84126659381,0.021628103
2014/1/21,1992.02,2008.31,1992.02,2014.15,5984491100,52017917403,0.00856747
2014/1/20,2001.89,1991.25,1984.82,2005.94,5627124700,48298781024,-0.006831096
2014/1/17,2017.52,2004.95,2001.33,2017.87,6730572000,57039564098,-0.009266191
2014/1/16,2022.54,2023.7,2014.41,2034.71,7275571900,62829760799,0.000174463
2014/1/15,2024.23,2023.35,2010.2,2027.41,6743622200,57740358255,-0.001723864
2014/1/14,2007.16,2026.84,2001.14,2027.43,7036661400,56687625248,0.008597885
2014/1/13,2014.98,2009.56,2000.4,2027.18,6654477600,55616750648,-0.001854668
2014/1/10,2023.54,2013.3,2008.01,2029.3,7561612100,61044553200,-0.007064433
2014/1/9,2041.77,2027.62,2026.45,2057.2,7594188300,67605664108,-0.0081777
2014/1/8,2047.26,2044.34,2037.11,2062.95,7164736400,62941429756,-0.001454098
